cmd,count
t,21
last,20
runnit,20
overlap2,19
makexgvi,19
gnuplot,19
pcst1,19
doc2ps,19
postreve,18
co,18
seecalls,17
red,17
euphony,17
talk,17
panel_te,17
xmh,17
dec,17
dc,16
mailbox,16
gnuplot_,16
webmagic,16
killall,16
dviselec,16
xfontsel,16
long,16
ddtest,16
lex,15
hoc,15
dev.X11,15
unzip,15
my.ls.re,15
led,14
enscript,14
autoconf,13
rmail,13
hinv,13
shelpMot,13
help.key,12
dev.post,12
tes,12
scamp_pr,12
showdoc,11
soundpla,11
strings,11
slide,11
hexbin,11
get_line,11
ttcm8,11
nly,10
su,10
munpack,10
arp,10
catdoc,10
fish4,10
ttcm,10
summary.,10
5836.exe,10
nedit,10
npasplit,10
foo,10
line.pro,10
xxx,10
kludgepl,9
twoprint,9
gengraph,9
jre,9
gp,9
lp.orig,9
f,9
catalog,9
j11,9
comm,9
fxvision,8
sqp_fill,8
seq,8
ama_volu,8
quota,8
xpaint,8
ico,8
acc.prof,8
inc,8
split,8
xload,8
xlsfonts,8
edgegen,8
flog,8
xrtld,8
nlcrack2,8
rup,8
5650.exe,7
gdiff,7
trn,7
format.d,7
slogin,7
od,7
7956.exe,7
ht,7
htn_date,7
mplotcha,7
8708.exe,7
jot,7
payphone,7
pcst.pur,7
DC-prn,7
rwho,7
backtalk,7
xmessage,7
expreser,7
pacdec,7
update,7
tcm,7
fm,7
make_del,6
make_hig,6
virmf,6
scamp_fi,6
scampdet,6
richtext,6
print_de,6
lo,6
calprog,6
test.pl,6
ppq,6
aupanel,6
worklist,6
lint,6
desktopM,6
gftopk,6
passwd,6
drag2,6
exrecove,6
mplotps,5
crontab,5
9term,5
sam,5
volumes.,5
ipeek,5
states,5
pow,5
cancel,5
bo_top,5
bo_table,5
zubs,5
moviepla,5
my.ls.2,5
lcc,5
lp2col,5
edgcpfe,5
cled,5
ci,5
run_swin,5
xloadima,5
nlgen,5
ftp.orig,5
sum,5
samterm,5
cled_jct,5
lpe3,5
getconf,5
delta,4
scan,4
zz2,4
imgview,4
data_cl.,4
make_tod,4
dot,4
auplay,4
ptelnet,4
vsimsg,4
xdemineu,4
rcsdiff,4
m,4
setup,4
fx,4
nlx,4
uuencode,4
shar,4
eptofax,4
rcc,4
xdiff,4
hype,4
xemacs-2,4
vsiupdst,4
ypcat,4
binhex,4
yacc,4
emrvol,4
neato,4
vis,4
Mosaic,4
fxprint,4
e,3
vipw,3
apanel,3
fish2,3
8117.exe,3
identify,3
==,3
agrep,3
testHist,3
psu,3
c++filt,3
etags,3
date-dif,3
tcm8a,3
ntrim.in,3
xpr,3
xfs,3
mhn,3
mysqladm,3
show,3
ppqcomma,3
telno,3
ascii,3
rusers,3
mhl,3
x11perf,3
CC,3
justspec,3
named,3
testFont,3
lint2,3
lint1,3
xwd,3
bo_rep_c,2
show_fil,2
randseq,2
Xsession,2
gv,2
gimp,2
sfplay,2
bb_rep_t,2
tftp,2
f2ps,2
macunpac,2
X,2
qk,2
help2,2
aa.new.n,2
capture,2
chat.awk,2
.wrapper,2
scheme,2
Main,2
lec2.awk,2
dict,2
std_date,2
sample,2
use_abus,2
rpcinfo,2
r,2
Squirrel,2
showprod,2
getsampl,2
comma.te,2
vtwm,2
find_RT,2
blossom4,2
sgo,2
chkconfi,2
what,2
readmsg,2
patch,2
ctags,2
prison_p,2
bb_rep_n,2
fastmail,2
fxsend,2
cpeek,2
wdefine,2
profile,2
cplex,2
tester,2
opnet,2
zip,2
bo_rep,2
yppasswd,2
orig,2
bb_rep,2
rftp,2
orig_sca,2
pftp,2
mplottek,2
ssplay,2
1.2,2
.maker_w,2
gr_top,2
newalias,2
scp,2
bo_rep_t,2
dialog.s,2
%backup%,2
1.1,2
c++patch,2
rmm,1
showfile,1
xwininfo,1
fmarch,1
sysinfo,1
fxfilter,1
=p,1
suepope4,1
demo,1
bb_rep_f,1
lps,1
crnl,1
getans,1
chown,1
splitmai,1
mkfontdi,1
vt100,1
fxshut,1
tifftofa,1
tcm5na,1
qpage,1
nohup,1
xmag,1
drill_do,1
nr,1
bo_rep_f,1
vreg,1
byte_rev,1
xmaplev4,1
webify,1
ssh-add,1
rvplayer,1
mysql,1
pagemail,1
scroll_t,1
Configur,1
1.3,1
windows,1
polar,1
scamp_to,1
hilow,1
cdc,1
doctype,1
install-,1
jar,1
vc,1
xlbiff,1
stream_b,1
clock,1
driverwr,1
text_are,1
prefix,1
ps2pdf,1
flow,1
see_scam,1
local.Sq,1
sfstdgen,1
ruptime,1
force_up,1
tcm8na,1
stripper,1
ssh-agen,1
prisoncs,1
plaid,1
swap,1
nfsstat,1
mpeg_pla,1
interest,1
=,1
xev,1
init_src,1
bo_type,1
fxstatus,1
where,1
whodo,1
7105.exe,1
rbnull,1
do.trit,1
mi,1
aa.new.s,1
xlsclien,1
print_sc,1
W,1
maker5X.,1
pdf2ps,1
mysql_in,1
domainna,1
define,1
ssh-keyg,1
mbackup,1
nlz2,1
